id,en,ar,d,cat,related
6424,em dash,شَرْطة كبيرة,"علامةُ ترقيم (-) مستعملة للإشارة إلى فاصل أو انقطاع في جملة. وسُميَّتْ بذلك نسبةً إلى em، وهي قياسٌ في التنضيد الطباعي اللاتيني يساوي في بعض البنوط عرض الحرف ""M"".",26,
6425,em space,فراغ كبير,"في التنضيد الطباعي: وحدةُ قياس في البنوط يساوي عرضُها المقاسَ النقطي للبنط. وهي تساوي في عدد من البنوط اللاتينية عرضَ الحرف ""M""، وهذا سبب تسميتها.",26,
6426,embedded,مُضمَّن,في البرمجيات: الأرمزةُ codes أو الأوامرُ المضمَّنةُ بالوسائط الحاملة لها. فمثلاً، تقوم بعضُ البرمجيات التطبيقية بتضمين الوثائق أوامرَ خاصة بالطباعة للتحكّم في طباعة هذه الوثائق وإصاغتها formatting. وتُضمَّن لغةُ تجميعٍ منخفضةُ المستوى ضمن اللغات العالية المستوى كلغة C بهدف توفير إمكاناتٍ أكثر أو فعالية أفضل.,19|26,
6427,embedded command,أمرٌ مُضَمَّن,أمرٌ يوضَع في نصٍّ، أو رسمٍ بياني، أو أيِّ ملفٍّ وثائقي، يُستخدَمُ غالباً لتعليمات الطباعة وإعداد مخططات تَوضّع الصفحات. ولا تَظهر هذه الأوامرُ غالباً على الشاشة، إلاّ أنه يمكِن إظهارُها عند الحاجة. قد تُسبِّب الأوامرُ المضمَّنةُ حدوثَ بعض المشكلات عند تحويل الوثائق بين برامج غير متوافقة فيما بينها.,26,
6428,embedded controller,متحكم مضمَّن,لوحةٌ لدارةِ متحكِّم معتمدة على معالِج، ومدموجة ضمن آلة الحاسوب.,4|13,
6429,embedded hyperlink,وُصلة ترابطية مضمّنة,وصلةٌ إلى مَوردٍ مُضمَّنٍ في نصٍّ، أو مقترنٍ بصورة، أو متصلٍ بطباق صورة image map.,14,
6430,embedded interface,واجهة مضمَّنة,واجهةٌ مدموجةٌ ضمن لوحةِ متحكِّم ومِسْوَقٍ drive لتجهيزة عتادية، بحيث يمكِن ربطُ التجهيزة مباشرةً إلى مسرى النظام الحاسوبي.,18,1386|3065
6431,emitter,باعِث,منطقةٌ في الترانزستورات تؤدِّي وظيفةَ منبع حوامل الشحنات.,,1165|5734
6432,emitter-coupled logic,منطق مَقْرون البواعث,مختصره: ECL. تصميمُ دارةٍ يوصَلُ فيها باعثا ترانزستورين إلى مقاومة بحيث يقوم أحدُهما فقط بالابتدال switching في كل مرة. يمتاز بسرعة عالية جداً في الابتدال، إلا أنه يتطلب عدداً كبيراً من المكوِّنات، وهو حسّاس للضجيج.,,
6433,EMM,سوّاق إدارة الذاكرة الموسَّعة,انظر: Expanded Memory Manager.,4,
6434,emotag,عبارة انفعالية,في رسالة بريد إلكتروني أو في مقالة في مجموعة أخبارية: حرفٌ (أو كلمة أو جملة) محاطٌ بحاضنتين (<>) ليعبِّر عن توجّه الكاتب حيال ما طرحه من موضوعات مكتوبة. للعبارات الانفعالية غالباً أماراتُ tags فتحٍ وإغلاق مشابهة لأمارات HTML.,15,109|6435
6435,emoticon,علامة انفعالية,"متوالية محارف تشكل عند النظر إليها من الجانبين صورة وجه يعبر عن انفعال ما. تستخدم علامة الانفعال غالباً في رسائل البريد الإلكتروني أو مقالات المجموعات الأخبارية تعليقاً على ما سبقها من نص. من العلامات الانفعالية الشائعة:
(: أو (-: تعني أنا أبتسم للمزحة هنا.
(-، تعني أنا أغمز وأكشر للمزحة هنا.
)-: تعني أنا حزين لذلك.
D: أو D-: تعني أنا مبتهج جداً، ابتسامة عريضة.
7-: تعني أنا أتكلم بجرأة.
O-: تعني التثاؤب من شدة الضجر، أو فماً مفتوحاً من شدة الاستغراب.",15,
6436,EMS,توصيف الذاكرة الموسَّعة,مختصر: Expanded Memory Specification. تقنيةُ إضافةِ ذاكرةٍ إلى الحواسيب الشخصية بحيث تَسمح بزيادة حجم الذاكرة عن واحد ميغابايت، وهو الحدُّ المسموحُ به في النمط الحقيقي للمعالج الصغري 80x86 من شركة Intel. في الإصدارات السابقة، تخطّتْ تقنيةُ EMS هذا الحدَّ باستخدام بطاقات ذاكرة ذات مراصف من ذاكرات RAM سعةُ كلٍّ منها 16 كيلوبايت، يمكِن النفاذُ إليها برمجياً. في الإصدارات اللاحقة من معالجات Intel ومنها 80386 و80486، استعاضتْ EMS عن مدِّ الذواكر، باستخدام مدير الذاكرة البرمجي، مثل برنامج EMM386 في نظام MS-DOS 5. يُستخدَمُ EMS حالياً في تطبيقات قديمة تعمل تحت نظام MS-DOS، لأن نظامَ Windows والتطبيقات الأخرى العاملةَ بالنمط المحمي للمعالج 80386 والمعالجات التي هي أحدث قد تحرَّرت من قيد الواحد ميغابايت.,4,
6437,emulate,يضاهي ، يقلِّد,يَسلُكُ سلوكَ نظامٍ عتاديّ أو برمجي آخر. في الشبكات: تُقلِّد المعالجاتُ الصغريةُ غالباً بعضَ الحواسيب الرئيسة أو المطاريف، بحيث يمكِن للآلتين الاتصال إحداهما بالأخرى.,6|15,
6438,emulation,مضاهاة ، تقليد,إجرائيةُ محاكاةِ حاسوبٍ أو تجهيزة أو برنامج، لوظيفةِ حاسوب أو تجهيزة أو برنامج آخر.,6,
6439,emulator,مُضَاهٍ ، مُقلِّد,عتادياتٌ أو برمجياتٌ مصمَّمةٌ لتجعلَ نوعاً من الحواسيب أو المكوِّنات تتصرّف كما لو كانت نوعاً آخر. يمكِن لحاسوب باستخدام مضاهٍ، أن يُنفِّذَ برمجيةً مكتوبةً لآلةٍ أخرى. في الشبكات: يمكِن للحواسيب الصغرية أن تضاهيَ حواسيبَ رئيسة أو مطاريفَ بحيث تستطيع آلتان الاتصالَ فيما بينهما.,6,
6440,emulsion laser storage,خزن ليزَري [على طبقة حساسة],طريقةٌ لتسجيل المعطيات على فِلْمٍ بتسخينٍ انتقائي باستخدام حزمة ليزرية.,7|18,
6441,en dash,شَرْطة صغيرة,علامةُ ترقيم (-) تُستخدَمُ لعرض مجالات التواريخ والأرقام مثل 1990-92، وفي الصفات المركبة حيث يوصل الجزء الأول بواصلة أو يكون مركباً من كلمتين مثل pre-Civil War. سُمِّيت الشرطةُ الصغيرة على غرار وحدة قياسٍ للتنضيد الطباعي [اللاتيني] وهي en، التي تمثِّل نصفَ عرض em.,26,
6442,en space,فراغ صغير,وحدةُ قياسٍ للتنضيد الطباعي في البنوط اللاتينية، تساوي نصفَ عرض المقاس النقطي للبنط.,26,
6443,enable,يُؤهِّل، يُمكِّن,يُنشِّط أو يُشغِّل.,,
6444,encapsulate,يُكَبْسِل,يعالِجُ جَمْعَةً من المعلومات البنيوية جملةً دون التأثير في البنية الداخلية أو أخذها في الحسبان. في الاتصالات: رسالةٌ أو رزمةٌ مبنية حسب أحد المَوافيق protocols (مثل رزم الـ TCP/IP)، يمكن أن تؤخذَ مع معطيات الإصاغة formatting كدفق بتّات غير مميز، ثم تقسّم وتحزم حسب مَوافيق أخفض مستوى (مثل رزم ATM) لتُرسَلَ عبر شبكة خاصة، وعند وجْهتها (المستقبِل) تُجمع هذه الرزم من المستوى الأدنى لإعادة إنشاء الرسالة كما كانت مُصاغةً للميفاق المُكَبْسِل. في البرمجة الغرضية التوجه: تُكَبسَلُ تفاصيلُ تنجيزِ implementation صفٍّ معيَّن في ملفٍّ منفصل، ولا حاجة للمبرمج (الذي يستعمل ذلك الصف) إلى معرفة محتوياته.,3|19,
6445,Encapsulated PostScript,PostScript مُكبسَل,انظر: EPS.,7,
6446,encapsulated type,نوع مُكبسَل,انظر: abstract data type.,19,
6447,encipher,يشفِّر، يعمّي,انظر: encryption.,10,
6448,encode,1 يُرمِّز ، 2 يُرمِّز,1- في أمن المعطيات: يُعمِّي المعلومات بقصد الحفاظ على سرِّيتها.,10|19,6449
6449,encryption,تعمية,إجرائيةُ ترميزِ المعطيات بقصد منْع نفاذ غير المخوَّلين إليها، خاصةً أثناء نقْلها. تَعتمد التعميةُ عادةً على مفتاحٍ ضروري في عملية فكّ الترميز. وقد أَنشأ المكتبُ الوطني للمقايس في الولايات المتحدة مِقْيَسَ standard تعميةٍ معقداً، هو مقيس DES (مِقْيَسُ تعمية المعطيات) الذي يوفِّر عدداً غير محدود تقريباً من طرائق تعمية الوثائق.,10,6022
6450,encryption key,مفتاح تعمية,تتالي معطيات يُستخدَمُ لتعمية معطيات أخرى.,10,
6451,End key,"مفتاح ""النهاية""",مفتاحُ التحكّم في المنْزلِق cursor، الذي يحرِّك المنْزلِقَ إلى موضع معيَّن، نهاية السطر، أو طرف الشاشة، أو نهاية ملف، اعتماداً على البرنامج.,19|26,
6452,end mark,علامة النهاية,رمزٌ يُشير إلى انتهاء كيان ما، كملفٍّ أو وثيقةِ معالج نصوص.,7|26,
6453,end user,مستخدِمٌ نهائي,المستخدِمُ النهائيُّ لحاسوب، أو لتطبيق حاسوبي بصيغته النهائية التسويقية.,,
6454,end-around carry,حِمْلٌ دورانيّ,نوعٌ خاصٌّ من عملية الإزاحة الدورانية التي تُعالِجُ بتَّ الحِمْل على أنه بتٌّ إضافي، وهذا يعني أن بتّ الحِمل يُزاحُ من إحدى نهايتي القيمة إلى النهاية الأخرى.,13,4340|5584|6455
